subject,SO_Source_Distance,Source,SO,pre_post,Outflow_peak
5,1,3,4,2,0.855121899211019
5,0,4,4,1,0.853584917705104
5,0,4,4,2,0.848199232705828
6,0,1,1,1,0.849687813003556
6,0,1,1,2,0.849470659137436
6,1,2,1,1,0.843603484658396
6,1,2,1,2,0.838958906144837
6,2,3,1,1,0.839030349206773
6,2,3,1,2,0.834249409261261
6,3,4,1,1,0.830509711168845
6,1,1,2,1,0.846832484921522
6,1,1,2,2,0.843556859820577
6,0,2,2,1,0.847920159856722
6,0,2,2,2,0.847190165114582
6,1,3,2,1,0.847348549350268
6,1,3,2,2,0.848163577472321
6,2,4,2,1,0.842819278000308
6,2,4,2,2,0.835985096464646
6,2,1,3,1,0.845437293253314
6,2,1,3,2,0.830004235322989
6,1,2,3,1,0.848058788193039
6,1,2,3,2,0.842627031430137
6,0,3,3,1,0.853926667621284
6,0,3,3,2,0.852156841730803
6,1,4,3,1,0.852946189378799
6,1,4,3,2,0.850067703317227
6,3,1,4,1,0.839998177296414
6,3,1,4,2,0.83550147483311
6,2,2,4,1,0.845412724764108
6,2,2,4,2,0.842985139411042
6,1,3,4,1,0.854172691500614
6,1,3,4,2,0.853768434550011
6,0,4,4,1,0.851426879168058
6,0,4,4,2,0.851859538858224
7,0,1,1,1,0.851167818308759
7,0,1,1,2,0.849641087057971
7,1,2,1,1,0.848180793048237
7,1,2,1,2,0.845559065756805
7,2,3,1,1,0.844825501652779
7,2,3,1,2,0.8409337640656
7,3,4,1,1,0.830147760929113
7,1,1,2,1,0.849494079419251
7,1,1,2,2,0.846974049893059
7,0,2,2,1,0.851734786889259
7,0,2,2,2,0.849586268183929
7,1,3,2,1,0.850316202107113
7,1,3,2,2,0.846514933313376
7,2,4,2,1,0.838100499879204
7,2,4,2,2,0.826744841612094
7,2,1,3,1,0.850437878713431
7,2,1,3,2,0.846105315557794
7,1,2,3,1,0.853704435854577
7,1,2,3,2,0.849945707771716
7,0,3,3,1,0.85573219214988
7,0,3,3,2,0.853393111648848
7,1,4,3,1,0.846539629023748
7,1,4,3,2,0.841793863325767
7,3,1,4,1,0.848469485792914
7,3,1,4,2,0.844618199111156
7,2,2,4,1,0.851199519928538
