subject,SO,Source,sink,D_source_So,D_sink_SO,D_sink_source,pre_post,flow_peak
6,4,1,2,3,2,1,2,0.488872336879212
6,4,1,3,3,1,2,1,0.478498927107471
6,4,1,3,3,1,2,2,0.476697192651934
6,4,1,4,3,0,3,1,0.48224807886612
6,4,1,4,3,0,3,2,0.478550079464994
6,4,2,1,2,3,1,1,0.493924508616518
6,4,2,1,2,3,1,2,0.495740356971437
6,4,2,3,2,1,1,1,0.48011408724791
6,4,2,3,2,1,1,2,0.478828327185737
6,4,2,4,2,0,2,1,0.484637146624699
6,4,2,4,2,0,2,2,0.481504377755903
6,4,3,1,1,3,2,1,0.49411080899164
6,4,3,1,1,3,2,2,0.498195813396894
6,4,3,2,1,2,1,1,0.49173193140433
6,4,3,2,1,2,1,2,0.493542590607224
6,4,3,4,1,0,1,1,0.487071426619385
6,4,3,4,1,0,1,2,0.481263181125448
6,4,4,1,0,3,3,1,0.49819154640822
6,4,4,1,0,3,3,2,0.497551493321018
6,4,4,2,0,2,2,1,0.49072622763688
6,4,4,2,0,2,2,2,0.492565643822697
6,4,4,3,0,1,1,1,0.479114947515849
6,4,4,3,0,1,1,2,0.479479134176916
7,1,1,2,0,1,1,1,0.480452380965847
7,1,1,2,0,1,1,2,0.474790049290489
7,1,1,3,0,2,2,1,0.486009908791732
7,1,1,3,0,2,2,2,0.483161036211928
7,1,1,4,0,3,3,1,0.501128894398051
7,1,1,4,0,3,3,2,0.505513129515224
7,1,2,1,1,0,1,1,0.477387580695753
7,1,2,1,1,0,1,2,0.470843515306001
7,1,2,3,1,2,1,1,0.485201669681236
7,1,2,3,1,2,1,2,0.482725473407068
7,1,2,4,1,3,2,1,0.499735546159427
7,1,2,4,1,3,2,2,0.50268110075633
7,1,3,1,2,0,2,1,0.476726931841782
7,1,3,1,2,0,2,2,0.470424879481073
7,1,3,2,2,1,1,1,0.47983818238468
7,1,3,2,2,1,1,2,0.474418876644503
7,1,3,4,2,3,1,1,0.499605337560619
7,1,3,4,2,3,1,2,0.503460489072742
7,1,4,1,3,0,3,1,0.474319215847042
7,1,4,1,3,0,3,2,0.468464094475486
7,1,4,2,3,1,2,1,0.476912144035703
7,1,4,2,3,1,2,2,0.471949287020687
7,1,4,3,3,2,1,1,0.482867230891265
7,1,4,3,3,2,1,2,0.480185895493447
7,2,1,2,1,0,1,1,0.482446711381726
7,2,1,2,1,0,1,2,0.474876632861298
7,2,1,3,1,1,2,1,0.484622661360426
7,2,1,3,1,1,2,2,0.479435002859926
7,2,1,4,1,2,3,1,0.499848803108175
7,2,1,4,1,2,3,2,0.505201503342261
7,2,2,1,0,1,1,1,0.485503036400101
7,2,2,1,0,1,1,2,0.479165011323996
7,2,2,3,0,1,1,1,0.484378697521456
7,2,2,3,0,1,1,2,0.479027799652042
7,2,2,4,0,2,2,1,0.499750747675888
